engine_size,horsepower,weight,year,mpg
111.45972761433298,952.8935603207959,664.9982604781522,166.6381225715694,8611.516279920981
544.8410942276798,581.3869683092144,127.7342740514893,632.9995667691783,4313.266623598666
614.557774034502,467.9724713899268,793.7107053082437,376.31362372722253,6587.178889587083
944.4872945026385,513.7261219970225,512.2764638229835,708.6378202640145,4723.966690247906
615.6444180951227,471.62792518913596,849.4564918103639,805.588776160701,2665.4797543697296
108.69048089771572,204.37556085296626,347.6987146489556,655.3481319129058,170.26967279565986
25.138073812374984,975.8398029296533,317.3924355112169,56.18231717518884,302.8796849919968
71.16693283936971,551.2093922982184,436.4881099812097,634.0535049362709,5802.080992641355
346.8194753088173,497.1080206032339,399.51908072286756,997.7313009320242,2855.783887034825
731.8658264552652,798.3336624522669,378.8651173511715,110.09361224856463,2637.8118406870035
93.08736651225836,682.316463493534,869.4161326452388,773.8162745971155,5899.997873643125
313.964471475341,921.9571146631747,889.8424522914044,56.80890754898604,7033.677989205382
919.9225800456467,933.0698039795865,586.1392480604043,315.7233186401146,8487.900449467328
481.6334401690985,820.8901808155483,817.7553943641817,885.6771998428145,5124.291006960694
496.961052326693,494.7302792691287,29.178417452269457,649.3498730933052,7386.855766288489
908.3435863575911,646.8388716476685,207.22625679404695,778.7706150360312,6567.798076607897
270.9475370459422,816.709943000662,837.5144001917431,711.5986098166575,4413.35814406453
740.6321265108774,854.1984815330128,820.2073168213233,381.0202743764407,486.54995721000404
429.3581042011954,862.5729022324725,425.76568089790555,764.0537108094298,5124.252337076559
614.1697772759601,693.6789649994979,608.629567105402,508.434411743956,9267.09917420501
705.345635508558,959.2125960133217,230.33674805175707,186.58263474924652,3218.7163710604027
989.7486055806896,336.92312833261104,193.64510495020392,519.7712129265495,3353.9518268043753
433.11001109788197,747.8012149605231,15.71965054021296,334.7502369965902,7301.733487835154
71.3256207033387,444.45889793784335,470.1620946155258,420.68502339216576,3672.6624232886065
665.9606711391876,511.8751466718686,533.8536082334267,190.1057642910028,8136.881786092235
661.1323302685125,933.2389206356485,587.4904525919229,105.0524398781797,8003.332563808393
956.0100161406328,463.0757823365275,153.03144143125857,811.7936924153319,5609.441816721129
112.32065532174906,202.00344191036567,870.8642090652858,278.4644300574454,8375.925888195208
